CSV CAN data
Converted from Kvaser Memorator at,2026-04-17 13:47:54
                                                        
Format of data field,HEX
Format of id field,HEX
Timestamp Offset,            0.000000,seconds
Logging started at,2026-04-17 13:47:31
Time,Channel,id,Flags,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Counter
8.481600,1,4fd,2,8,00,00,a2,00,00,00,00,00,377
8.483560,1,45d,2,8,00,75,00,00,01,04,00,44,378
8.489240,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,379
8.490180,1,217,2,8,00,13,ff,00,7f,ff,00,00,380
8.490430,1,250,2,8,00,00,00,01,00,00,00,00,381
8.490690,1,257,2,8,31,80,e2,0a,df,00,0a,e0,382
8.490950,1,337,2,8,0a,80,3e,00,00,00,00,00,383
8.491160,1,397,2,8,00,00,00,00,00,3c,80,00,384
8.491420,1,437,2,8,01,00,00,20,13,40,00,00,385
8.492060,1,350,2,8,0f,02,00,00,00,7f,00,dd,386
8.499140,1,4dd,2,8,03,6e,d1,bd,2f,4a,5d,00,387
8.500249,1,217,2,8,00,03,ff,00,7f,ff,00,10,388
8.500550,1,380,2,8,6e,00,1d,20,93,19,6e,22,389
8.500760,1,3b9,2,8,6e,00,85,00,6e,14,80,00,390
